Full Name,Affiliation,Position,Department,Faculty,Campus,wikidata
Ali Ameli,University of British Columbia,Assistant Professor,Earth Ocean and Atmospheric Sciences,Sciences,Vancouver,
Alice Guimaraes,University of British Columbia,PhD Student,Norman B Keevil Institute of Mining Engineering,Applied Sciences,Vancouver,Q27980222
Annegaaike Leopold,University of British Columbia,Adjunct Professor,Institute for Resources Environment and Sustainability,Sciences,Vancouver,
Curtis A. Suttle,University of British Columbia,Professor,Earth Ocean and Atmospheric Sciences,Sciences,Vancouver,
Dacotah-Victoria Splichalova,University of British Columbia,PhD Student,Institute for Resources Environment and Sustainability,Sciences,Vancouver,
Daniel Roehr,University of British Columbia,Associate Professor,School of Architecture,Applied Sciences,Vancouver,
Gunilla Öberg,University of British Columbia,Professor,Institute for Resources Environment and Sustainability,Sciences,Vancouver,
John Janmaat,University of British Columbia,Associate Professor,"Economics,Philosophy and Political Science",Arts,Okanagan,
John S. Richardson,University of British Columbia,Professor,Forest and Conservation Sciences,Forestry,Vancouver,Q56794616
John Wagner,University of British Columbia,Associate Professor,Anthropology,Irving K. Barber School of Arts and Sciences,Okanagan,
Jongho Lee,University of British Columbia,Assistant Professor,Civil Engineering,Applied Sciences,Vancouver,Q90016862
Jordi Honey-Rosés,University of British Columbia,Assistant Professor,School of Community and Regional Planning,Applied Sciences,Vancouver,
Kasey Moran,University of British Columbia,PhD Student,Forest and Conservation Sciences,Forestry,Vancouver,
Leila M. Harris,University of British Columbia,Professor,"Institute for Resources Environment and Sustainability,""Institute for Gender, Race, Sexuality and Social Justice""",Sciences,Vancouver,
Lucy Rodina,University of British Columbia,Adjunct Professor,Institute for Resources Environment and Sustainability,Sciences,Vancouver,
Madjid Mohseni,University of British Columbia,Professor,Chemical and Biological Engineering,Applied Sciences,Vancouver,
Mark Johnson,University of British Columbia,Associate Professor,Institute for Resources Environment and Sustainability,Sciences,Vancouver,
Marwan Hassan,University of British Columbia,Professor,Geography,Arts,Vancouver,
Nadja Kunz,University of British Columbia,Assistant Professor,"School of Public Policy and Global Affairs (SPPGA),Norman B Keevil Institute of Mining Engineering","Applied Sciences,Arts",Vancouver,
Natalie Prystajecky,University of British Columbia,Assistant Professor,Pathology and Laboratory Medicine,Medicine,Vancouver,
Nicolas Peleato,University of British Columbia,Assistant Professor,School of Engineering,Applied Sciences,Okanagan,
Pierre Bérubé,University of British Columbia,Professor,Civil Engineering,Applied Sciences,Vancouver,
Rehan Sadiq,University of British Columbia,Professor and Associate Dean,School of Engineering,Applied Sciences,Okanagan,
Steven Conrad,University of British Columbia,Adjunct Professor,Institute for Resources Environment and Sustainability,Sciences,Vancouver,
Steven Weijs,University of British Columbia,Assistant Professor,Civil Engineering,Applied Sciences,Vancouver,
Valentina Radić,University of British Columbia,Associate Professor,Earth Ocean and Atmospheric Sciences,Applied Sciences,Vancouver,
